,id,name,latitude,longitude,room_type,price
65,8810949,NYC  Upscale Midtown East 3BR Apt,40.748670000000004,-73.96734000000001,Entire home/apt,1170
108,12870225,Fab 3BR UN Plaza with River Views,40.7526,-73.96789,Entire home/apt,1100
140,14408114,Unparalleled Luxury in Midtown Manhattan,40.76455,-73.97959,Entire home/apt,2500
155,15347268,Modern Luxury 2 Bed/ 2 Bath apartment in Midtown!,40.75425,-73.98312,Entire home/apt,2000
159,15857259,5 Star Luxury 2 BR Suite Heart of Manhattan,40.7611,-73.97412,Entire home/apt,1999
163,16173564,The Gnome House “ Oasis in the city “,40.75979,-73.96444,Entire home/apt,1200
334,31019621,Luxury on 5th Ave St. Regis 2 King BR Suite 5 Star,40.76024,-73.97483000000001,Entire home/apt,1999
641,43753422,AKA Two Bedroom Premium Suite,40.76518,-73.97594000000001,Entire home/apt,1500
696,45116375,White on White Loft Space | EVENTS,40.75496,-73.99128,Entire home/apt,3000
738,2952861,│ ♛ │ THE NOTORIOUS B.N.B. │ PHOTO LOCATION,40.69127,-73.96563,Entire home/apt,4600
739,2953058,│ ♛ │ THE NOTORIOUS B.N.B. │ FILM LOCATION,40.69137,-73.96723,Entire home/apt,8000
874,279857,Entire Home w 8 BR /5 Bath No share Yellow Block,40.68492,-73.95489,Private room,900
1363,32732490,Pro-Music Recording Studio With  Bedroom & Lounge,40.69025,-73.92491,Private room,400
1447,36197791,Zen light-filled Brooklyn Duplex,40.68757,-73.95038000000001,Private room,350
1449,36282795,Amazing unique loft with jacuzzi,40.69246,-73.93427,Private room,500
1546,39302289,Great bedroom on fulton,40.67922,-73.90907,Private room,500
1603,40919941,NYC Airbnb 4.,40.69364,-73.94507,Private room,350
1714,44223269,Cozy furn. duplex in the heart of BK w W/D in unit,40.6939,-73.94496,Private room,1500
1753,45084440,Cozy Studio in the Heart of Bed Stuy,40.679990000000004,-73.94452,Private room,1850
1868,42528852,The Sanctuary | Events 15 Guests,40.651140000000005,-74.01271,Entire home/apt,2429
1874,43638327,The Sanctuary | Overnight 4 Guests,40.65102,-74.01111,Entire home/apt,1200
1882,45092032,The Sanctuary | Overnight 6 Guests,40.65101,-74.01258,Entire home/apt,1600
2107,31808138,Located in the heart of time square,40.7616,-73.99828000000001,Private room,2200
2112,33353713,Cozy 2 bedroom located down town New York.,40.7555,-73.99274,Private room,950
2121,35032018,Family Room for 8 Guests in Boutique Hotel,40.75582,-73.99556,Private room,899
2125,35457818,Sleep 6 in Times Square Boutique Hotel,40.75591,-73.99278000000001,Private room,899
2220,43535987,Modern Loft with private Backyard Theatre District,40.76594,-73.99013000000001,Private room,696
2257,3323189,2000 sq ft Photographers loft,40.715559999999996,-73.99234,Entire home/apt,585
2287,25264664,"Stunning, Sunny Tribeca Loft",40.71845,-74.00214,Entire home/apt,500
2460,17537893,The Otheroom Bar/Event/Filming Space -read details,40.73571,-74.0078,Entire home/apt,4000
2554,37332942,Exclusive Event Loft on Iconic Meatpacking Corner,40.73958,-74.00466,Entire home/apt,2000
2603,43749317,Charming West Village 1BR! Preferred 1Month Rental,40.729009999999995,-74.00346,Entire home/apt,4000
2619,44705947,Huge Townhome 5 B with patio Downtown West village,40.73723,-74.00152,Entire home/apt,2107
2630,1291020,One family  house sublet July 2-August 31 2020,40.66812,-73.99022,Private room,250
2658,180717,Luxury Room with Central Park Views,40.79423,-73.96621999999999,Private room,600
2727,12657888,"convenient, furnished APT",40.801829999999995,-73.96373,Private room,980
2782,23804690,One Central Park,40.769859999999994,-73.98196999999999,Private room,540
2815,30927844,Cost-effective nice room near Columbia University!,40.80146,-73.96076,Private room,1300
2896,42662526,Experience paradise on earth in midtown,40.76871,-73.98221,Private room,1000
3182,44258559,East Harlem Getaway,40.80312,-73.93457,Entire home/apt,2600
3243,11553360,King 7,40.69413,-73.9723,Entire home/apt,1073
3294,33473664,The Park Townhouse - Jewel of Fort Greene,40.68991,-73.97352,Entire home/apt,850
3300,35962803,Best Looking Townhouse in Brooklyn-GQ Magazine,40.68893,-73.97015999999999,Entire home/apt,800
3419,15392689,"Private, Spacious Bedroom in Harlem, single bed",40.80242,-73.94215,Private room,5000
3432,18610554,"Private bedroom, Queenbed on suite bath and closet",40.80141,-73.94341,Private room,5000
3932,20245130,Modern Mid-Century Townhouse in Williamsburg!,40.71248,-73.96095,Entire home/apt,857
3970,23370484,SHOOTS ONLY -- Large Sunny loft in Williamsburg,40.71782,-73.96318000000001,Entire home/apt,1000
3971,23372850,SHOOTS ONLY - Eclectic Artist Loft in Williamsburg,40.71846,-73.9616,Entire home/apt,2000
3972,23373090,SHOOTS ONLY - Huge Artist loft in Williamsburg,40.71653,-73.96276,Entire home/apt,2500
4184,40171124,New lofts,40.70646,-73.93853,Entire home/apt,3500
4260,43093018,Duplex Loft private balcony in best Williamsburg,40.719570000000004,-73.96346,Entire home/apt,999
4265,43315653,BEST LOCATION 9bed/6bath (10Min to NYC) w Rooftop!,40.71565,-73.94097,Entire home/apt,999
4279,43785452,"Modern Condo, Private Roof Overlooking Domino Park",40.7151,-73.96688,Entire home/apt,999
4296,44475802,Furnished Room in Williamsburg 3BR Apartment,40.71188,-73.94041999999999,Entire home/apt,900
4334,45310726,"Big Open Space for Artists , POP Ups, Photo Shoots",40.71056,-73.93526999999999,Entire home/apt,1000
