NAME,longitude,latitude
Astor Pl,-73.99106999861966,40.73005400028978
Canal St,-74.00019299927328,40.71880300107709
50th St,-73.98384899986625,40.76172799961419
Bergen St,-73.97499915116808,40.68086213682956
Pennsylvania Ave,-73.89488591154061,40.66471445143568
238th St,-73.90087000018522,40.88466700064975
Cathedral Pkwy (110th St),-73.95806670661364,40.800581558114956
Kingston - Throop Aves,-73.94085899871263,40.67991899941601
65th St,-73.8987883783301,40.74971952935675
36th St,-73.92901818461539,40.75196004401078
Delancey St - Essex St,-73.98740940202974,40.71830605618619
Van Siclen Ave,-73.89165772702445,40.67802821447783
Norwood Ave,-73.87962599910783,40.68152000045683
104th-102nd Sts,-73.84443500029684,40.69516599823373
DeKalb Ave,-73.98177094440949,40.690648119969794
Beach 105th St,-73.82758075034528,40.58326843810286
Beach 90th St,-73.81365140419632,40.58809156457325
Freeman St,-73.89175225349464,40.829987446384116
Intervale Ave,-73.89661738461646,40.822142131170786
182nd-183rd Sts,-73.90074099998965,40.85609299881864
174th-175th Sts,-73.91013600050078,40.84589999983414
167th St,-73.91843200082253,40.83376899862797
Mets - Willets Point,-73.8456249984179,40.75462199881262
Junction Blvd,-73.86952700103515,40.74914499948836
Flushing - Main St,-73.83003000262508,40.75959999915012
Buhre Ave,-73.83256900003744,40.846809998885504
3rd Ave - 138th St,-73.92613800014134,40.81047600117261
Castle Hill Ave,-73.85122199961472,40.83425499825462
Brooklyn Bridge - City Hall,-74.0041310005885,40.713064999433136
Zerega Ave,-73.8470359987544,40.836488000608156
Grand Central - 42nd St,-73.9767132992584,40.75180742981634
33rd St,-73.98207600148947,40.74608099909145
96th St,-73.9510700015425,40.78567199998607
77th St,-73.95987399886047,40.77362000074615
Chauncey St,-73.91038357033376,40.68285130087804
Union St,-73.98310999909673,40.67731566735096
Elmhurst Ave,-73.8820347465864,40.74237007972169
Ralph Ave,-73.92078599933306,40.678822000873375
Pelham Pkwy,-73.86748067850041,40.8571924091606
Gun Hill Rd,-73.86613410538703,40.877839385172024
Nereid Ave (238 St),-73.8543153107622,40.898286515575286
Franklin Ave,-73.9580997367769,40.67076515344894
Simpson St,-73.89306639507903,40.823976841237396
Bronx Park East,-73.86835609178098,40.848768666338934
Winthrop St,-73.95007934590994,40.65665931376077
Van Siclen Ave,-73.88940491730106,40.665517963059635
149th St - Grand Concourse,-73.9273847542618,40.81830344372315
161st St - Yankee Stadium,-73.92569199505733,40.82823032742169
Lexington Ave - 59th St,-73.9679670004732,40.762526000304575
E 149th St,-73.90409799875945,40.81211799827203
Morrison Av - Soundview,-73.87451599929486,40.82952100156747
Whitlock Ave,-73.8862829985325,40.82652500055904
St Lawrence Ave,-73.86761799923673,40.8315090005233
Woodside - 61st St,-73.90298400173006,40.745630001138395
Far Rockaway - Mott Ave,-73.75540499924732,40.603995001687544
72nd St,-73.976336575218,40.77551939729258
96th St,-73.96460245687166,40.79161879767014
168th St,-73.93956099985425,40.84071899990795
Kingsbridge Rd,-73.8935090000331,40.86697799999945
42nd St - Bryant Pk,-73.98459099904711,40.754184001312545
Prospect Park,-73.96203130426609,40.6616334551018
55th St,-73.99534882595742,40.63147876093745
Jamaica - Van Wyck,-73.81701287135405,40.70289855287313
Kew Gardens - Union Tpke,-73.8303702709878,40.714034819571026
Sutphin Blvd - Archer Av,-73.80800471963833,40.700382424235
Court Sq - 23rd St,-73.94605470266329,40.747768121414325
67th Ave,-73.85286048434907,40.726505475813006
Grand Ave - Newtown,-73.87722085669182,40.736813418197144
Ditmas Ave,-73.97817199965161,40.63611866666291
Classon Ave,-73.95999000137212,40.68888900026455
Broadway,-73.95031225606621,40.706126576274166
Lorimer St,-73.95024799996972,40.71407200064717
Sutter Ave,-73.9019160004208,40.66914500061398
Wilson Ave,-73.90395860491864,40.68886654246024
Halsey St,-73.9166388842194,40.686415270704344
Lorimer St,-73.94735499884204,40.703844000042096
8th Ave,-74.01151599772157,40.634970999647166
36th Ave,-73.929861999118,40.7564420005104
Broadway,-73.92582299919906,40.761431998800546
Times Sq - 42nd St,-73.98676800153976,40.75461199851542
Grand Central - 42nd St,-73.97918899989101,40.75276866674217
Park Pl,-73.95762400074634,40.67477166685263
111th St,-73.83216299845388,40.68433100001238
W 4th St - Washington Sq (Lower),-74.00030814755975,40.732254493367876
51st St,-73.97192000069982,40.75710699989316
86th St,-73.97621799859327,40.78864400073892
233rd St,-73.85736239521543,40.89314324138378
66th St - Lincoln Ctr,-73.98220899995783,40.77344000052039
Hunts Point Ave,-73.89054900017344,40.82094799852307
Canal St,-74.0062770001748,40.72285399778783
Middletown Rd,-73.83632199755944,40.84386300128381
23rd St,-73.98659900207888,40.739864000474604
Court Sq,-73.94526400039679,40.74702299889643
59th St - Columbus Circle,-73.98192900232715,40.76824700063689
Hunters Point Ave,-73.9489160009391,40.74221599986316
23rd St,-73.9956570016487,40.74408099989751
